0 4.25728 0.00127716
1 4.19853 0.0225412
2 4.07041 0.0219377
3 4.01715 0.021695
4 3.95659 0.0214267
5 3.88832 0.0210735
6 3.81127 0.020708
7 3.77976 0.0205591
8 3.69259 0.0201182
9 3.62889 0.0198378
10 3.56543 0.0195292
11 3.5162 0.0192654
12 3.45984 0.0189961
13 3.40272 0.0187149
14 3.34654 0.0184582
15 3.31679 0.0183005
16 3.27428 0.0181172
17 3.2343 0.0179416
18 3.18046 0.0177007
19 3.1234 0.0173788
20 3.10122 0.0172642
21 3.06264 0.017076
22 3.05456 0.0170667
23 2.97928 0.0167095
24 2.95138 0.0165794
25 2.9238 0.0164695
26 2.91929 0.0164033
27 2.8739 0.0161996
28 2.83001 0.0159775
29 2.82263 0.0159539
30 2.80144 0.0158333
31 2.78543 0.0157525
32 2.77028 0.015695
33 2.73656 0.0155294
34 2.70468 0.0153932
35 2.70982 0.0153746
36 2.67764 0.0152539
37 2.63157 0.0150325
38 2.60785 0.014918
39 2.60106 0.014894
40 2.57189 0.0147318
41 2.56827 0.0147265
42 2.53902 0.0145901
43 2.55968 0.0146937
44 2.5328 0.0145558
45 2.51462 0.0144713
46 2.49346 0.0143763
47 2.47824 0.0143085
48 2.48881 0.0143229
49 2.4564 0.014184
50 2.43132 0.0140897
51 2.43107 0.0140634
52 2.42213 0.0140202
53 2.39973 0.0139355
54 2.3942 0.0138868
55 2.39663 0.0138826
56 2.3576 0.0137219
57 2.35604 0.0136932
58 2.37218 0.0137952
59 2.34775 0.0136482
60 2.35376 0.0136942
61 2.32875 0.0135809
62 2.33492 0.0136002
63 2.31874 0.0135203
64 2.32706 0.0135657
65 2.34867 0.0136664
66 2.31944 0.0135196
67 2.30234 0.0134642
68 2.28621 0.0133895
69 2.27954 0.0133438
70 2.27229 0.0133132
71 2.26645 0.0132834
72 2.28835 0.0133891
73 2.25013 0.0132028
74 2.27979 0.0133523
75 2.28117 0.0133676
76 2.25005 0.0132078
77 2.23342 0.0131222
78 2.22957 0.0131153
79 2.24698 0.0131728
80 2.22469 0.0130744
81 2.24388 0.0131669
82 2.21608 0.0130318
83 2.23189 0.0131172
84 2.23891 0.0131268
85 2.2155 0.0130386
86 2.22481 0.0130633
87 2.22856 0.0130841
88 2.21005 0.0130074
89 2.21322 0.0130039
90 2.22292 0.0130656
91 2.23479 0.0131406
92 2.20745 0.0129907
93 2.17957 0.0128547
94 2.22562 0.0130944
95 2.20075 0.0129624
96 2.21326 0.0130189
97 2.22985 0.0131172
98 2.18418 0.0129034
99 2.1898 0.0128933
100 2.211 0.0129974
101 2.21805 0.0130539
102 2.16909 0.0128028
103 2.19589 0.012958
104 2.19209 0.0129199
105 2.18304 0.0128811
106 2.19473 0.0129373
107 2.16824 0.0128198
108 2.20514 0.0129757
109 2.18676 0.0128901
110 2.20898 0.0129961
111 2.17533 0.0128463
112 2.19042 0.012902
113 2.15742 0.0127471
114 2.15589 0.0127454
115 2.17843 0.0128452
116 2.19776 0.0129422
117 2.1626 0.0127862
118 2.18041 0.012874
119 2.16696 0.0128157
120 2.17827 0.0128533
121 2.1631 0.0127885
122 2.18582 0.0128921
123 2.18447 0.0128825
124 2.19918 0.0129453
125 2.17879 0.012861
126 2.19081 0.0129028
127 2.15171 0.0127203
128 2.18696 0.0129036
129 2.16531 0.012792
130 2.18105 0.0128797
131 2.17513 0.0128471
132 2.16362 0.0127648
133 2.15153 0.0127365
134 2.1773 0.0128503
135 2.18265 0.0128525
136 2.16791 0.0127869
137 2.16826 0.0128156
138 2.16884 0.0128144
139 2.18835 0.012907
140 2.17787 0.0128394
141 2.15386 0.0127355
142 2.14665 0.0127157
143 2.16733 0.0128098
144 2.16865 0.0128181
145 2.16824 0.0128166
146 2.19325 0.012924
147 2.15664 0.0127423
148 2.17301 0.0128369
149 2.15317 0.0127504
